//ARGV is (#(ARGV.count)) ["eaton_firstRun.adjtime.txt"]
fileInPath = eaton_firstRun.adjtime.txt
// Reading input file...
    1 #         1         2         3
    2 #12345678901234567890123456789012
  137 008F68 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  138 008FC3 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  139 00901C 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  140 009072 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  141 0090CB 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  142 009124 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  143 009180 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  144 0091D6 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  145 0091DC 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  146 00922F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  147 009294 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  148 0092E3 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  149 009339 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  150 009392 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  151 0093EB 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  152 009449 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  153 00949D 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  154 0094F6 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  155 00954F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  156 009554 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  157 0095AA 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  158 00960E 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  159 009659 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  160 0096B2 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  161 00970E 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  162 009764 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  163 0097BD 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  164 009817 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  165 009871 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  166 0098C7 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  167 0098CD 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
